Date,Communications,Consumer Discretionary,Consumer Staples,Energy,Financials,Industrials,Technology,Utilities,STI Index
2019-01-01,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
2019-01-02,100.277,99.618,100.221,101.149,100.876,101.630,98.823,100.379,100.649
2019-01-03,101.099,101.134,101.383,101.478,102.024,102.384,103.324,100.000,101.781
2019-01-04,103.427,101.238,102.815,102.135,102.748,103.280,103.255,101.894,102.601
2019-01-05,103.742,100.876,102.830,102.627,103.647,102.922,104.155,103.788,103.089
2019-01-06,102.106,100.297,101.854,100.821,102.914,102.200,102.509,99.621,102.277
2019-01-07,103.210,100.715,102.584,101.642,104.381,103.270,106.299,100.379,103.529
2019-01-08,104.217,100.472,103.469,102.463,104.941,103.454,105.953,101.515,104.071
2019-01-09,103.809,100.110,102.327,102.956,104.476,103.780,103.045,101.515,103.598
2019-01-10,104.470,100.308,102.411,103.284,104.760,104.756,104.896,102.273,103.917
2019-01-11,103.525,100.242,103.317,103.448,104.363,104.357,106.074,101.894,103.795
2019-01-12,102.864,100.116,103.326,101.314,103.086,104.140,106.213,101.894,102.898
2019-01-13,103.179,99.829,103.396,100.328,102.183,102.962,105.105,100.379,102.202
2019-01-14,104.155,100.360,104.154,100.657,102.697,104.759,106.351,100.000,102.834
2019-01-15,103.840,100.076,104.962,101.806,103.172,104.767,109.467,100.000,103.205
2019-01-16,103.210,99.979,104.283,100.821,103.313,105.154,110.021,98.864,103.117
2019-01-17,102.895,99.935,104.299,100.000,102.924,104.776,110.298,98.485,102.736
2019-01-18,102.395,100.511,103.400,99.672,102.256,105.541,112.860,97.348,102.307
2019-01-19,102.864,101.369,104.696,100.164,102.704,105.914,112.583,98.106,102.816
2019-01-20,102.772,101.269,105.664,99.179,102.447,106.611,109.952,97.727,102.768
2019-01-21,102.772,100.738,105.073,98.686,102.518,105.864,110.090,97.348,102.635
2019-01-22,102.772,100.738,105.073,98.686,102.518,105.864,110.090,97.348,102.635
2019-01-23,102.772,100.738,105.073,98.686,102.518,105.864,110.090,97.348,102.635
2019-01-24,103.778,101.481,103.954,98.522,103.132,107.005,110.783,96.591,103.153
2019-01-25,104.062,101.800,104.316,99.179,103.055,107.630,108.844,96.591,103.198
2019-01-26,103.686,102.354,105.034,98.686,103.297,105.907,110.575,96.591,103.335
2019-01-27,103.087,101.834,104.610,99.015,103.110,106.820,109.952,96.212,103.170
2019-01-28,103.148,103.623,105.613,100.821,104.709,107.456,114.175,99.242,104.576
2019-01-29,103.117,104.351,104.952,100.328,105.011,108.202,112.860,98.864,104.846
2019-01-30,101.827,103.635,107.204,99.836,104.293,106.831,111.475,97.348,104.413
2019-01-31,102.232,104.264,108.345,100.821,105.265,107.611,112.237,97.348,105.259
2019-02-01,102.109,104.415,108.297,100.493,105.120,106.747,111.544,97.348,105.060
2019-02-02,103.745,104.761,108.436,103.777,105.592,107.981,111.890,100.758,105.659
2019-02-03,103.999,105.009,109.184,104.269,105.363,107.565,111.821,100.758,105.644
2019-02-04,104.375,104.825,109.271,104.105,104.857,107.952,111.613,101.136,105.385
2019-02-05,104.752,103.804,108.344,103.777,105.029,108.533,125.323,100.379,105.464
2019-02-06,105.067,103.240,108.892,102.956,104.574,108.216,125.254,100.000,105.120
2019-02-07,102.739,104.283,108.875,101.806,104.294,107.795,123.246,99.621,104.745
2019-02-08,102.708,100.422,107.708,101.149,103.187,107.286,123.246,99.242,103.542
2019-02-09,101.794,100.595,106.830,100.657,103.691,107.154,127.746,98.864,103.790
2019-02-10,101.824,100.445,107.730,102.299,104.995,107.811,132.177,100.379,104.779
2019-02-11,101.855,99.618,106.968,102.299,104.519,106.979,129.616,99.242,104.231
2019-02-12,101.540,98.237,105.361,101.642,104.421,106.235,133.160,99.621,103.869
2019-02-13,101.195,99.177,105.678,101.642,104.589,106.965,129.488,99.610,104.083
2019-02-14,100.126,98.136,104.993,100.164,103.529,105.528,127.411,97.338,103.000
2019-02-15,99.780,98.345,105.263,100.164,103.304,105.637,126.449,96.959,102.856
2019-02-16,100.380,99.090,105.938,100.657,104.012,107.147,127.003,97.338,103.527
2019-02-17,100.695,99.129,105.155,100.493,103.164,107.221,125.572,96.575,102.991
2019-02-18,101.732,97.044,104.033,100.328,103.641,108.134,125.364,96.575,103.066
2019-02-19,103.054,96.562,103.659,100.657,103.787,107.968,123.217,95.438,103.138
2019-02-20,102.677,96.419,104.252,101.149,104.416,108.411,124.683,96.575,103.550
2019-02-21,102.424,95.848,103.809,101.970,104.864,109.524,124.683,97.711,103.807
2019-02-22,101.640,95.430,104.261,101.478,104.335,109.366,123.852,96.953,103.380
2019-02-23,101.040,96.617,104.795,102.627,104.416,109.064,123.505,97.711,103.573
2019-02-24,101.040,96.719,105.341,102.135,104.204,108.920,124.752,96.575,103.523
2019-02-25,100.917,96.286,104.757,101.571,103.008,108.421,120.889,96.196,102.582
2019-02-26,101.862,96.811,105.878,101.736,103.483,108.746,122.205,95.817,103.142
2019-02-27,101.201,96.384,105.970,101.407,103.504,108.300,121.863,95.438,103.081
2019-02-28,101.201,96.648,106.270,101.242,103.653,108.136,123.318,96.196,103.248
2019-03-01,102.554,95.361,106.069,102.394,104.154,108.630,124.288,96.727,103.548
